Computernavn,Bruger
STD000071,ssi\kiap
STD000614,ssi\obl
STD001563,ssi\cobe
STD001637,ssi\jomo
FLEX-PC,ssi\ooe
WIN7-JRL-PC,ssi\jrl
PDSERVER-HP,ssi\ooe
OOEZ400,ssi\ooe
WXU002896,ssi\ptd
OOE-Z640WS,ssi\ooe
SDS003976,ssi\dovl
WXU003967,ssi\thm
LAB004909,ssi\ymm
STD000494,ssi\mebh
WIN10PTEST,ssi\lamg
SSI004565,ssi\jut
STD002335,ssi\afb




