"Computernavn";"Bruger";"Status"
"STD000071";"ssi\kiap";"Kunne ikke pinge computeren"
"STD000614";"ssi\obl";"Kunne ikke pinge computeren"
"STD001563";"ssi\cobe";"Kunne ikke pinge computeren"
"STD001637";"ssi\jomo";"Kunne ikke pinge computeren"
"FLEX-PC";"ssi\ooe";"Kunne ikke pinge computeren"
"WIN7-JRL-PC";"ssi\jrl";"Kunne ikke pinge computeren"
"PDSERVER-HP";"ssi\ooe";
"OOEZ400";"ssi\ooe";"Kunne ikke finde bruger"
"WXU002896";"ssi\ptd";"Kunne ikke pinge computeren"
"OOE-Z640WS";"ssi\ooe";"Kunne ikke finde bruger"
"SDS003976";"ssi\dovl";"Kunne ikke pinge computeren"
"WXU003967";"ssi\thm";"Kunne ikke pinge computeren"
"LAB004909";"ssi\ymm";"Kunne ikke pinge computeren"
"STD000494";"ssi\mebh";"Kunne ikke pinge computeren"
"WIN10PTEST";"ssi\lamg";"Kunne ikke pinge computeren"
"SSI004565";"ssi\jut";"Kunne ikke pinge computeren"
"STD002335";"ssi\afb";"Kunne ikke pinge computeren"
