DomainName;UserName;ComputerName
DKSUND;rufr;rohan
DKSUND;adm-rufr;rohan
DKSUND;nise;rohan
DKSUND;adm-nise;rohan
DKSUND;lamg;rohan
DKSUND;adm-lamg;rohan
DKSUND;mam;rohan
DKSUND;adm-mam;rohan
